gene_symbol,ensembl_gene_id,chr,n_instruments_5e8,n_instruments_5e6,has_valid_instrument,single_iv,finan_tier,notes
COL4A5,ENSG00000188153,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
COL4A6,ENSG00000197565,X,0,0,FALSE,FALSE,Tier 3B,non-autosomal chr skipped
COL5A1,ENSG00000130635,9,1,100,TRUE,TRUE,Tier 3A,""
COL5A2,ENSG00000204262,2,2,642,TRUE,FALSE,Tier 3B,""
COL5A3,ENSG00000080573,19,3,494,TRUE,FALSE,Tier 3B,""
COL6A1,ENSG00000142156,21,4,1601,TRUE,FALSE,Tier 3A,""
COL6A2,ENSG00000142173,21,5,2124,TRUE,FALSE,Tier 3B,""
COL6A3,ENSG00000163359,2,3,257,TRUE,FALSE,Tier 3A,""
COL6A5,ENSG00000172752,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
COL6A6,ENSG00000206384,3,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
COL7A1,ENSG00000114270,3,1,358,TRUE,TRUE,Tier 3B,""
COL8A1,ENSG00000144810,3,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
COL8A2,ENSG00000171812,1,1,34,TRUE,TRUE,Tier 3A,""
COL9A1,ENSG00000112280,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
COL9A2,ENSG00000049089,1,2,357,TRUE,FALSE,Tier 3B,""
COL9A3,ENSG00000092758,20,2,697,TRUE,FALSE,Tier 3A,""
COLEC10,ENSG00000184374,8,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
COLQ,ENSG00000206561,3,4,1192,TRUE,FALSE,Tier 3B,""
COMP,ENSG00000105664,19,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
COMT,ENSG00000093010,22,3,506,TRUE,FALSE,Tier 1,""
COPA,ENSG00000122218,1,2,363,TRUE,FALSE,Tier 3B,""
CORIN,ENSG00000145244,4,2,1652,TRUE,FALSE,Tier 3A,""
CORT,ENSG00000241563,1,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
CP,ENSG00000047457,3,0,6,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CPA1,ENSG00000091704,7,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
CPA2,ENSG00000158516,7,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CPA3,ENSG00000163751,3,1,303,TRUE,TRUE,Tier 2,""
CPA4,ENSG00000128510,7,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CPA5,ENSG00000158525,7,6,1209,TRUE,FALSE,Tier 3B,""
CPA6,ENSG00000165078,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CPAMD8,ENSG00000160111,19,2,389,TRUE,FALSE,Tier 3A,""
CPB1,ENSG00000153002,3,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
CPB2,ENSG00000080618,13,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
CPE,ENSG00000109472,4,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CPM,ENSG00000135678,12,2,372,TRUE,FALSE,Tier 2,""
CPN1,ENSG00000120054,10,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
CPN2,ENSG00000178772,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CPQ,ENSG00000104324,8,5,813,TRUE,FALSE,Tier 3A,""
CPS1,ENSG00000021826,2,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
CPT1A,ENSG00000110090,11,2,952,TRUE,FALSE,Tier 2,""
CPT1B,ENSG00000205560,22,4,421,TRUE,FALSE,Tier 2,""
CPT2,ENSG00000157184,1,2,235,TRUE,FALSE,Tier 2,""
CPXM1,ENSG00000088882,20,2,230,TRUE,FALSE,Tier 3A,""
CPXM2,ENSG00000121898,10,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CPZ,ENSG00000109625,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CR1,ENSG00000203710,1,3,746,TRUE,FALSE,Tier 3A,""
CR1L,ENSG00000197721,1,1,577,TRUE,TRUE,Tier 3A,""
CR2,ENSG00000117322,1,1,472,TRUE,TRUE,Tier 3A,""
CRB1,ENSG00000134376,1,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CRB2,ENSG00000148204,9,1,149,TRUE,TRUE,Tier 3A,""
CREBBP,ENSG00000005339,16,0,0,FALSE,FALSE,Tier 2,no SNP below 5e-8
CREG1,ENSG00000143162,1,3,318,TRUE,FALSE,Tier 3B,""
CREG2,ENSG00000175874,2,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CRELD2,ENSG00000184164,22,5,1139,TRUE,FALSE,Tier 3A,""
CRH,ENSG00000147571,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CRHBP,ENSG00000145708,5,0,2,FALSE,FALSE,Tier 3B,no SNP below 5e-8
CRHR1,ENSG00000120088,17,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CRHR2,ENSG00000106113,7,1,196,TRUE,TRUE,Tier 3B,""
CRIM1,ENSG00000150938,2,3,620,TRUE,FALSE,Tier 3A,""
CRISP1,ENSG00000124812,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CRISP2,ENSG00000124490,6,2,605,TRUE,FALSE,Tier 3B,""
CRISP3,ENSG00000096006,6,2,730,TRUE,FALSE,Tier 3B,""
CRISPLD2,ENSG00000103196,16,4,1118,TRUE,FALSE,Tier 3A,""
CRLF1,ENSG00000006016,19,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CRLF2,ENSG00000205755,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
CRP,ENSG00000132693,1,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CRTAC1,ENSG00000095713,10,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CRTAM,ENSG00000109943,11,2,497,TRUE,FALSE,Tier 3B,""
CRTAP,ENSG00000170275,3,1,312,TRUE,TRUE,Tier 3B,""
CRY2,ENSG00000121671,11,2,1125,TRUE,FALSE,Tier 3A,""
CSF1,ENSG00000184371,1,1,61,TRUE,TRUE,Tier 1,""
CSF1R,ENSG00000182578,5,3,512,TRUE,FALSE,Tier 1,""
CSF2,ENSG00000164400,5,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CSF2RA,ENSG00000198223,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
CSF2RB,ENSG00000100368,22,2,138,TRUE,FALSE,Tier 3A,""
CSF3,ENSG00000108342,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CSF3R,ENSG00000119535,1,1,121,TRUE,TRUE,Tier 1,""
CSH1,ENSG00000136488,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CSH2,ENSG00000213218,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CSHL1,ENSG00000204414,17,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CSK,ENSG00000103653,15,3,1470,TRUE,FALSE,Tier 1,""
CSN1S1,ENSG00000126545,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CSN2,ENSG00000135222,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CSN3,ENSG00000171209,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CSNK1A1,ENSG00000113712,5,1,24,TRUE,TRUE,Tier 1,""
CSNK1A1L,ENSG00000180138,13,1,274,TRUE,TRUE,Tier 2,""
CSNK1D,ENSG00000141551,17,4,563,TRUE,FALSE,Tier 1,""
CSNK1E,ENSG00000213923,22,6,808,TRUE,FALSE,Tier 1,""
CSNK1G1,ENSG00000169118,15,2,1340,TRUE,FALSE,Tier 2,""
CSNK1G2,ENSG00000133275,19,1,116,TRUE,TRUE,Tier 2,""
CSNK1G3,ENSG00000151292,5,1,236,TRUE,TRUE,Tier 2,""
CSNK2A1,ENSG00000101266,20,1,38,TRUE,TRUE,Tier 1,""
CSNK2A2,ENSG00000070770,16,1,414,TRUE,TRUE,Tier 2,""
CSPG4,ENSG00000173546,15,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
CSPG5,ENSG00000114646,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CST1,ENSG00000170373,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CST2,ENSG00000170369,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CST3,ENSG00000101439,20,8,1862,TRUE,FALSE,Tier 3A,""
CST4,ENSG00000101441,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CST5,ENSG00000170367,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CST6,ENSG00000175315,11,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CST7,ENSG00000077984,20,4,2641,TRUE,FALSE,Tier 3B,""
CST8,ENSG00000125815,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CST9,ENSG00000173335,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CST9L,ENSG00000101435,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CTBS,ENSG00000117151,1,6,963,TRUE,FALSE,Tier 3B,""
CTDSP1,ENSG00000144579,2,1,172,TRUE,TRUE,Tier 2,""
CTF1,ENSG00000150281,16,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CTGF,ENSG00000118523,6,2,348,TRUE,FALSE,Tier 1,""
CTHRC1,ENSG00000164932,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CTLA4,ENSG00000163599,2,2,333,TRUE,FALSE,Tier 1,""
CTNNB1,ENSG00000168036,3,3,1212,TRUE,FALSE,Tier 2,""
CTRB1,ENSG00000168925,16,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
CTRB2,ENSG00000168928,16,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CTRC,ENSG00000162438,1,1,136,TRUE,TRUE,Tier 2,""
CTRL,ENSG00000141086,16,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CTSA,ENSG00000064601,20,2,319,TRUE,FALSE,Tier 2,""
CTSB,ENSG00000164733,8,6,3016,TRUE,FALSE,Tier 1,""
CTSC,ENSG00000109861,11,12,3118,TRUE,FALSE,Tier 2,""
CTSD,ENSG00000117984,11,3,297,TRUE,FALSE,Tier 1,""
CTSE,ENSG00000196188,1,1,20,TRUE,TRUE,Tier 1,""
CTSF,ENSG00000174080,11,5,1862,TRUE,FALSE,Tier 2,""
CTSG,ENSG00000100448,14,4,1086,TRUE,FALSE,Tier 2,""
CTSH,ENSG00000103811,15,6,1277,TRUE,FALSE,Tier 2,""
CTSK,ENSG00000143387,1,5,2929,TRUE,FALSE,Tier 1,""
CTSL,ENSG00000135047,9,4,1191,TRUE,FALSE,Tier 1,""
CTSS,ENSG00000163131,1,6,1859,TRUE,FALSE,Tier 1,""
CTSV,ENSG00000136943,9,0,7,FALSE,FALSE,Tier 1,no SNP below 5e-8
CTSW,ENSG00000172543,11,15,2449,TRUE,FALSE,Tier 3A,""
CTSZ,ENSG00000101160,20,2,470,TRUE,FALSE,Tier 2,""
CX3CL1,ENSG00000006210,16,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CX3CR1,ENSG00000168329,3,3,1092,TRUE,FALSE,Tier 2,""
CXADR,ENSG00000154639,21,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CXCL1,ENSG00000163739,4,3,856,TRUE,FALSE,Tier 3B,""
CXCL10,ENSG00000169245,4,1,1099,TRUE,TRUE,Tier 1,""
CXCL11,ENSG00000169248,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CXCL12,ENSG00000107562,10,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
CXCL13,ENSG00000156234,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CXCL14,ENSG00000145824,5,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CXCL16,ENSG00000161921,17,3,483,TRUE,FALSE,Tier 3A,""
CXCL17,ENSG00000189377,19,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CXCL2,ENSG00000081041,4,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CXCL3,ENSG00000163734,4,0,0,FALSE,FALSE,Tier 3A,no SNP below 5e-8
CXCL5,ENSG00000163735,4,2,1530,TRUE,FALSE,Tier 3A,""
CXCL6,ENSG00000124875,4,2,262,TRUE,FALSE,Tier 3B,""
CXCL9,ENSG00000138755,4,1,834,TRUE,TRUE,Tier 3A,""
CXCR1,ENSG00000163464,2,2,728,TRUE,FALSE,Tier 1,""
CXCR2,ENSG00000180871,2,1,681,TRUE,TRUE,Tier 1,""
CXCR3,ENSG00000186810,X,0,0,FALSE,FALSE,Tier 2,non-autosomal chr skipped
CXCR4,ENSG00000121966,2,1,18,TRUE,TRUE,Tier 1,""
CXCR5,ENSG00000160683,11,1,143,TRUE,TRUE,Tier 1,""
CXCR6,ENSG00000172215,3,5,1585,TRUE,FALSE,Tier 3B,""
CYB5D2,ENSG00000167740,17,2,1051,TRUE,FALSE,Tier 3B,""
CYB5R3,ENSG00000100243,22,4,880,TRUE,FALSE,Tier 1,""
CYBB,ENSG00000165168,X,0,0,FALSE,FALSE,Tier 2,non-autosomal chr skipped
CYP11A1,ENSG00000140459,15,1,51,TRUE,TRUE,Tier 1,""
CYP11B1,ENSG00000160882,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP11B2,ENSG00000179142,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP17A1,ENSG00000148795,10,1,424,TRUE,TRUE,Tier 1,""
CYP19A1,ENSG00000137869,15,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP1A1,ENSG00000140465,15,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP1A2,ENSG00000140505,15,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP1B1,ENSG00000138061,2,7,1967,TRUE,FALSE,Tier 1,""
CYP20A1,ENSG00000119004,2,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
CYP21A2,ENSG00000231852,6,3,6313,TRUE,FALSE,Tier 3B,""
CYP24A1,ENSG00000019186,20,2,297,TRUE,FALSE,Tier 1,""
CYP26A1,ENSG00000095596,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP26B1,ENSG00000003137,2,7,1445,TRUE,FALSE,Tier 3B,""
CYP26C1,ENSG00000187553,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP27A1,ENSG00000135929,2,10,1482,TRUE,FALSE,Tier 1,""
CYP27B1,ENSG00000111012,12,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
CYP2A13,ENSG00000197838,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2A6,ENSG00000255974,19,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
CYP2A7,ENSG00000198077,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2B6,ENSG00000197408,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2C18,ENSG00000108242,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2C19,ENSG00000165841,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2C8,ENSG00000138115,10,1,488,TRUE,TRUE,Tier 1,""
CYP2C9,ENSG00000138109,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2D6,ENSG00000100197,22,2,1361,TRUE,FALSE,Tier 1,""
CYP2E1,ENSG00000130649,10,2,527,TRUE,FALSE,Tier 1,""
CYP2F1,ENSG00000197446,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP2J2,ENSG00000134716,1,1,443,TRUE,TRUE,Tier 1,""
CYP2R1,ENSG00000186104,11,2,134,TRUE,FALSE,Tier 1,""
CYP2S1,ENSG00000167600,19,7,1047,TRUE,FALSE,Tier 1,""
CYP2U1,ENSG00000155016,4,4,655,TRUE,FALSE,Tier 3B,""
CYP2W1,ENSG00000073067,7,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CYP39A1,ENSG00000146233,6,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP3A4,ENSG00000160868,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP3A43,ENSG00000021461,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP3A5,ENSG00000106258,7,0,3,FALSE,FALSE,Tier 1,no SNP below 5e-8
CYP3A7,ENSG00000160870,7,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
CYP46A1,ENSG00000036530,14,1,83,TRUE,TRUE,Tier 1,""
CYP4A11,ENSG00000187048,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP4A22,ENSG00000162365,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CYP4B1,ENSG00000142973,1,1,403,TRUE,TRUE,Tier 1,""
CYP4F11,ENSG00000171903,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP4F12,ENSG00000186204,19,4,1755,TRUE,FALSE,Tier 1,""
CYP4F2,ENSG00000186115,19,1,224,TRUE,TRUE,Tier 1,""
CYP4F22,ENSG00000171954,19,5,1014,TRUE,FALSE,Tier 3B,""
CYP4F3,ENSG00000186529,19,3,1106,TRUE,FALSE,Tier 1,""
CYP4F8,ENSG00000186526,19,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP4V2,ENSG00000145476,4,4,1105,TRUE,FALSE,Tier 3B,""
CYP4X1,ENSG00000186377,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CYP4Z1,ENSG00000186160,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP51A1,ENSG00000001630,7,1,939,TRUE,TRUE,Tier 1,""
CYP7A1,ENSG00000167910,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP7B1,ENSG00000172817,8,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYP8B1,ENSG00000180432,3,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
CYR61,ENSG00000142871,1,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
CYSLTR1,ENSG00000173198,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
CYSLTR2,ENSG00000152207,13,1,194,TRUE,TRUE,Tier 3B,""
CYTL1,ENSG00000170891,4,3,433,TRUE,FALSE,Tier 3B,""
DAG1,ENSG00000173402,3,1,518,TRUE,TRUE,Tier 3B,""
DAGLA,ENSG00000134780,11,1,146,TRUE,TRUE,Tier 1,""
DAGLB,ENSG00000164535,7,8,1799,TRUE,FALSE,Tier 1,""
DAND5,ENSG00000179284,19,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DAO,ENSG00000110887,12,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
DAPK1,ENSG00000196730,9,6,1184,TRUE,FALSE,Tier 1,""
DAPK2,ENSG00000035664,15,2,402,TRUE,FALSE,Tier 1,""
DAPK3,ENSG00000167657,19,2,44,TRUE,FALSE,Tier 1,""
DARC,ENSG00000213088,1,1,603,TRUE,TRUE,Tier 3A,""
DBF4,ENSG00000006634,7,0,74,FALSE,FALSE,Tier 2,no SNP below 5e-8
DBH,ENSG00000123454,9,2,166,TRUE,FALSE,Tier 2,""
DCD,ENSG00000161634,12,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DCK,ENSG00000156136,4,2,581,TRUE,FALSE,Tier 2,""
DCLK1,ENSG00000133083,13,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DCLK2,ENSG00000170390,4,3,1239,TRUE,FALSE,Tier 2,""
DCLK3,ENSG00000163673,3,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DCN,ENSG00000011465,12,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DCPS,ENSG00000110063,11,3,846,TRUE,FALSE,Tier 1,""
DCT,ENSG00000080166,13,1,247,TRUE,TRUE,Tier 3B,""
DDC,ENSG00000132437,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DDO,ENSG00000203797,6,2,1269,TRUE,FALSE,Tier 1,""
DDOST,ENSG00000244038,1,1,418,TRUE,TRUE,Tier 3B,""
DDR1,ENSG00000204580,6,4,7909,TRUE,FALSE,Tier 1,""
DDR2,ENSG00000162733,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DDX3X,ENSG00000215301,X,0,0,FALSE,FALSE,Tier 2,non-autosomal chr skipped
DEAF1,ENSG00000177030,11,1,812,TRUE,TRUE,Tier 3B,""
DEFA1,ENSG00000206047,8,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DEFA1B,ENSG00000240247,8,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DEFA3,ENSG00000239839,8,4,483,TRUE,FALSE,Tier 3A,""
DEFA4,ENSG00000164821,8,1,43,TRUE,TRUE,Tier 3A,""
DEFA5,ENSG00000164816,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFA6,ENSG00000164822,8,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DEFB1,ENSG00000164825,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB103A,ENSG00000176797,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB103B,ENSG00000177243,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB104A,ENSG00000176782,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB104B,ENSG00000177023,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB105A,ENSG00000186562,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB105B,ENSG00000186599,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB106A,ENSG00000186579,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB106B,ENSG00000187082,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB107A,ENSG00000186572,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB107B,ENSG00000198129,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB108B,ENSG00000184276,11,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB110,ENSG00000203970,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB112,ENSG00000180872,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB113,ENSG00000214642,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB114,ENSG00000177684,6,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB115,ENSG00000215547,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB116,ENSG00000215545,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB118,ENSG00000131068,20,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DEFB126,ENSG00000125788,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DEFB127,ENSG00000088782,20,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DEFB4A,ENSG00000171711,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DERL1,ENSG00000136986,8,2,259,TRUE,FALSE,Tier 3B,""
DGAT1,ENSG00000185000,8,4,338,TRUE,FALSE,Tier 2,""
DGCR6,ENSG00000183628,22,2,395,TRUE,FALSE,Tier 3B,""
DHCR7,ENSG00000172893,11,1,45,TRUE,TRUE,Tier 1,""
DHFR,ENSG00000228716,5,4,2270,TRUE,FALSE,Tier 1,""
DHFRL1,ENSG00000178700,3,1,396,TRUE,TRUE,Tier 2,""
DHH,ENSG00000139549,12,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DHODH,ENSG00000102967,16,2,476,TRUE,FALSE,Tier 1,""
DHRS1,ENSG00000157379,14,8,1191,TRUE,FALSE,Tier 1,""
DHRS12,ENSG00000102796,13,3,1232,TRUE,FALSE,Tier 1,""
DHRS13,ENSG00000167536,17,1,463,TRUE,TRUE,Tier 1,""
DHRS2,ENSG00000100867,14,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DHRS3,ENSG00000162496,1,3,376,TRUE,FALSE,Tier 1,""
DHRS4,ENSG00000157326,14,2,231,TRUE,FALSE,Tier 1,""
DHRS4L2,ENSG00000187630,14,2,563,TRUE,FALSE,Tier 1,""
DHRS7,ENSG00000100612,14,4,998,TRUE,FALSE,Tier 1,""
DHRS7B,ENSG00000109016,17,1,252,TRUE,TRUE,Tier 1,""
DHRS7C,ENSG00000184544,17,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DHRS9,ENSG00000073737,2,4,647,TRUE,FALSE,Tier 1,""
DHRSX,ENSG00000169084,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
DIO1,ENSG00000211452,1,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
DIO3,ENSG00000197406,14,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DKK1,ENSG00000107984,10,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DKK2,ENSG00000155011,4,1,113,TRUE,TRUE,Tier 3A,""
DKK3,ENSG00000050165,11,6,731,TRUE,FALSE,Tier 3A,""
DKK4,ENSG00000104371,8,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DKKL1,ENSG00000104901,19,0,0,FALSE,FALSE,Tier 3A,no cis-eQTL in window
DLD,ENSG00000091140,7,1,177,TRUE,TRUE,Tier 3A,""
DLK1,ENSG00000185559,14,1,346,TRUE,TRUE,Tier 1,""
DLL4,ENSG00000128917,15,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DMBT1,ENSG00000187908,10,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DMD,ENSG00000198947,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
DMKN,ENSG00000161249,19,1,49,TRUE,TRUE,Tier 3A,""
DMP1,ENSG00000152592,4,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DMPK,ENSG00000104936,19,1,677,TRUE,TRUE,Tier 1,""
DNAJA1,ENSG00000086061,9,0,5,FALSE,FALSE,Tier 2,no SNP below 5e-8
DNAJB11,ENSG00000090520,3,1,92,TRUE,TRUE,Tier 3B,""
DNASE1,ENSG00000213918,16,1,176,TRUE,TRUE,Tier 3A,""
DNASE1L3,ENSG00000163687,3,2,1278,TRUE,FALSE,Tier 3A,""
DNMT1,ENSG00000130816,19,2,482,TRUE,FALSE,Tier 1,""
DNMT3A,ENSG00000119772,2,1,142,TRUE,TRUE,Tier 1,""
DNMT3B,ENSG00000088305,20,1,249,TRUE,TRUE,Tier 2,""
DNPEP,ENSG00000123992,2,2,166,TRUE,FALSE,Tier 2,""
DOT1L,ENSG00000104885,19,1,95,TRUE,TRUE,Tier 2,""
DPEP1,ENSG00000015413,16,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
DPEP2,ENSG00000167261,16,5,1722,TRUE,FALSE,Tier 2,""
DPEP3,ENSG00000141096,16,4,1543,TRUE,FALSE,Tier 3B,""
DPP10,ENSG00000175497,2,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
DPP4,ENSG00000197635,2,2,209,TRUE,FALSE,Tier 1,""
