gene_symbol,ensembl_gene_id,chr,start_hg19,end_hg19,finan_tier,dgidb_n_interactions,dgidb_drugs,in_mr_screen,notes
ACTN4,ENSG00000130402,19,39138289,39222223,Tier 3B,,,TRUE,""
ACVR1,ENSG00000115170,2,158592958,158732374,Tier 1,,,TRUE,""
ACVR1B,ENSG00000135503,12,52345451,52390862,Tier 1,,,TRUE,""
ACVR1C,ENSG00000123612,2,158383279,158485517,Tier 3B,,,TRUE,""
ACVR2A,ENSG00000121989,2,148602086,148688393,Tier 2,,,TRUE,""
ACVR2B,ENSG00000114739,3,38495342,38534633,Tier 2,,,TRUE,""
ACVRL1,ENSG00000139567,12,52300692,52317145,Tier 1,,,TRUE,""
ADA,ENSG00000196839,20,43248163,43280874,Tier 1,,,TRUE,""
ADAM10,ENSG00000137845,15,58887403,59042177,Tier 1,,,TRUE,""
ADAM12,ENSG00000148848,10,127700950,128077024,Tier 1,,,TRUE,""
ADAM17,ENSG00000151694,2,9628615,9695921,Tier 1,,,TRUE,""
ADAM23,ENSG00000114948,2,207308263,207485851,Tier 3B,,,TRUE,""
ADAM28,ENSG00000042980,8,24151553,24216531,Tier 3A,,,TRUE,""
ADAM32,ENSG00000197140,8,38964509,39142430,Tier 3B,,,TRUE,""
ADAM33,ENSG00000149451,20,3648612,3662893,Tier 2,,,TRUE,""
ADAM8,ENSG00000151651,10,135075907,135090372,Tier 2,,,TRUE,""
ADAM9,ENSG00000168615,8,38854388,38962663,Tier 1,,,TRUE,""
ADAMDEC1,ENSG00000134028,8,24241798,24263526,Tier 3B,,,TRUE,""
ADAMTS1,ENSG00000154734,21,28208066,28217728,Tier 2,,,TRUE,""
ADAMTS10,ENSG00000142303,19,8645126,8675620,Tier 3A,,,TRUE,""
ADAMTS12,ENSG00000151388,5,33523640,33892297,Tier 3A,,,TRUE,""
ADAMTS13,ENSG00000160323,9,136279478,136324508,Tier 3A,,,TRUE,""
ADAMTS14,ENSG00000138316,10,72432559,72522197,Tier 3A,,,TRUE,""
ADAMTS15,ENSG00000166106,11,130318869,130346532,Tier 3A,,,TRUE,""
ADAMTS16,ENSG00000145536,5,5140443,5320417,Tier 3B,,,TRUE,""
ADAMTS17,ENSG00000140470,15,100511794,100882210,Tier 3A,,,TRUE,""
ADAMTS18,ENSG00000140873,16,77281710,77469011,Tier 3A,,,TRUE,""
ADAMTS19,ENSG00000145808,5,128795958,129074376,Tier 3A,,,TRUE,""
ADAMTS2,ENSG00000087116,5,178537852,178772431,Tier 3A,,,TRUE,""
ADAMTS20,ENSG00000173157,12,43747669,43945724,Tier 3A,,,TRUE,""
ADAMTS3,ENSG00000156140,4,73146686,73434516,Tier 3A,,,TRUE,""
ADAMTS4,ENSG00000158859,1,161154098,161168846,Tier 2,,,TRUE,""
ADAMTS5,ENSG00000154736,21,28290231,28338832,Tier 2,,,TRUE,""
ADAMTS6,ENSG00000049192,5,64444563,64777747,Tier 3A,,,TRUE,""
ADAMTS7,ENSG00000136378,15,79051545,79103773,Tier 3A,,,TRUE,""
ADAMTS8,ENSG00000134917,11,130274820,130298888,Tier 3A,,,TRUE,""
ADAMTS9,ENSG00000163638,3,64501333,64673676,Tier 3A,,,TRUE,""
ADAMTSL1,ENSG00000178031,9,18473892,18910948,Tier 3A,,,TRUE,""
ADAMTSL3,ENSG00000156218,15,84322838,84708594,Tier 3A,,,TRUE,""
ADAMTSL4,ENSG00000143382,1,150521884,150533413,Tier 3B,,,TRUE,""
ADC,ENSG00000142920,1,33546705,33586131,Tier 2,,,TRUE,""
ADCK3,ENSG00000163050,1,227085237,227175246,Tier 2,,,TRUE,""
ADCK4,ENSG00000123815,19,41197434,41224112,Tier 2,,,TRUE,""
ADCY1,ENSG00000164742,7,45613739,45762715,Tier 1,,,TRUE,""
ADCY5,ENSG00000173175,3,123001143,123168605,Tier 1,,,TRUE,""
ADCYAP1,ENSG00000141433,18,904944,912173,Tier 3A,,,TRUE,""
ADCYAP1R1,ENSG00000078549,7,31092076,31151089,Tier 2,,,TRUE,""
ADH1A,ENSG00000187758,4,100197524,100212185,Tier 1,,,TRUE,""
ADH1B,ENSG00000196616,4,100226121,100242558,Tier 1,,,TRUE,""
ADH1C,ENSG00000248144,4,100257649,100274184,Tier 1,,,TRUE,""
ADH4,ENSG00000198099,4,100044808,100078949,Tier 1,,,TRUE,""
ADH5,ENSG00000197894,4,99992132,100009952,Tier 1,,,TRUE,""
ADH6,ENSG00000172955,4,100123795,100140694,Tier 1,,,TRUE,""
ADH7,ENSG00000196344,4,100333418,100356894,Tier 1,,,TRUE,""
ADHFE1,ENSG00000147576,8,67342420,67383836,Tier 1,,,TRUE,""
ADIPOQ,ENSG00000181092,3,186560463,186576252,Tier 3A,,,TRUE,""
ADK,ENSG00000156110,10,75910960,76469061,Tier 2,,,TRUE,""
ADM,ENSG00000148926,11,10326227,10328944,Tier 3A,,,TRUE,""
ADM2,ENSG00000128165,22,50919985,50924869,Tier 3A,,,TRUE,""
ADORA1,ENSG00000163485,1,203059782,203136533,Tier 1,,,TRUE,""
ADORA2A,ENSG00000128271,22,24813847,24838328,Tier 1,,,TRUE,""
ADORA2B,ENSG00000170425,17,15848231,15879060,Tier 1,,,TRUE,""
ADORA3,ENSG00000121933,1,112025970,112106584,Tier 1,,,TRUE,""
ADRA1A,ENSG00000120907,8,26605667,26724790,Tier 1,,,TRUE,""
ADRA1B,ENSG00000170214,5,159343790,159399551,Tier 1,,,TRUE,""
ADRA1D,ENSG00000171873,20,4201329,4229721,Tier 1,,,TRUE,""
ADRA2A,ENSG00000150594,10,112836790,112840658,Tier 1,,,TRUE,""
ADRA2B,ENSG00000222040,2,96778707,96781984,Tier 1,,,TRUE,""
ADRA2C,ENSG00000184160,4,3768075,3770251,Tier 1,,,TRUE,""
ADRB1,ENSG00000043591,10,115803806,115806667,Tier 1,,,TRUE,""
ADRB2,ENSG00000169252,5,148206156,148208196,Tier 1,,,TRUE,""
ADRB3,ENSG00000188778,8,37820516,37824483,Tier 1,,,TRUE,""
ADRBK1,ENSG00000173020,11,67033881,67054027,Tier 1,,,TRUE,""
ADRBK2,ENSG00000100077,22,25960816,26125261,Tier 3B,,,TRUE,""
AEBP1,ENSG00000106624,7,44143960,44154161,Tier 3A,,,TRUE,""
AFM,ENSG00000079557,4,74347400,74369691,Tier 3A,,,TRUE,""
AFP,ENSG00000081051,4,74296855,74321891,Tier 1,,,TRUE,""
AGA,ENSG00000038002,4,178351924,178363657,Tier 3A,,,TRUE,""
AGER,ENSG00000204305,6,32148745,32152101,Tier 3A,,,TRUE,""
AGGF1,ENSG00000164252,5,76325076,76361059,Tier 3B,,,TRUE,""
AGPAT2,ENSG00000169692,9,139567595,139581875,Tier 2,,,TRUE,""
AGR2,ENSG00000106541,7,16831435,16873057,Tier 3B,,,TRUE,""
AGR3,ENSG00000173467,7,16899029,16921611,Tier 3B,,,TRUE,""
AGRN,ENSG00000188157,1,955503,991496,Tier 3A,,,TRUE,""
AGRP,ENSG00000159723,16,67516474,67517716,Tier 3B,,,TRUE,""
AGT,ENSG00000135744,1,230838269,230850043,Tier 3B,,,TRUE,""
AGTR1,ENSG00000144891,3,148415571,148460795,Tier 1,,,TRUE,""
AGTR2,ENSG00000180772,X,115301975,115306225,Tier 1,,,TRUE,""
AHCY,ENSG00000101444,20,32868074,32899608,Tier 2,,,TRUE,""
AHR,ENSG00000106546,7,17338246,17385776,Tier 1,,,TRUE,""
AHSG,ENSG00000145192,3,186330712,186339107,Tier 3B,,,TRUE,""
AIMP1,ENSG00000164022,4,107236701,107270383,Tier 3B,,,TRUE,""
AKR1A1,ENSG00000117448,1,46016215,46035721,Tier 1,,,TRUE,""
AKR1B1,ENSG00000085662,7,134127102,134144036,Tier 1,,,TRUE,""
AKR1B10,ENSG00000198074,7,134212344,134226160,Tier 1,,,TRUE,""
AKR1C1,ENSG00000187134,10,4934796,5025475,Tier 1,,,TRUE,""
AKR1C2,ENSG00000151632,10,5029967,5060223,Tier 2,,,TRUE,""
AKR1C3,ENSG00000196139,10,5077546,5149878,Tier 1,,,TRUE,""
AKT1,ENSG00000142208,14,105235686,105262088,Tier 1,,,TRUE,""
AKT1S1,ENSG00000204673,19,50372295,50381716,Tier 2,,,TRUE,""
AKT2,ENSG00000105221,19,40736224,40791443,Tier 1,,,TRUE,""
AKT3,ENSG00000117020,1,243651535,244014381,Tier 1,,,TRUE,""
ALB,ENSG00000163631,4,74262831,74287129,Tier 2,,,TRUE,""
ALCAM,ENSG00000170017,3,105085753,105295744,Tier 3B,,,TRUE,""
ALDH16A1,ENSG00000161618,19,49956426,49974305,Tier 3B,,,TRUE,""
ALDH1A1,ENSG00000165092,9,75515578,75695358,Tier 1,,,TRUE,""
ALDH1A2,ENSG00000128918,15,58245622,58790065,Tier 1,,,TRUE,""
ALDH1A3,ENSG00000184254,15,101417919,101456831,Tier 1,,,TRUE,""
ALDH1B1,ENSG00000137124,9,38392661,38398658,Tier 1,,,TRUE,""
ALDH1L1,ENSG00000144908,3,125822412,125916837,Tier 3B,,,TRUE,""
ALDH1L2,ENSG00000136010,12,105413568,105478355,Tier 3B,,,TRUE,""
ALDH2,ENSG00000111275,12,112204691,112247782,Tier 1,,,TRUE,""
ALDH3A1,ENSG00000108602,17,19641297,19652256,Tier 1,,,TRUE,""
ALDH3A2,ENSG00000072210,17,19551449,19580911,Tier 1,,,TRUE,""
ALDH3B1,ENSG00000006534,11,67776048,67796744,Tier 3B,,,TRUE,""
ALDH3B2,ENSG00000132746,11,67429633,67448671,Tier 1,,,TRUE,""
ALDH4A1,ENSG00000159423,1,19197926,19229275,Tier 1,,,TRUE,""
ALDH5A1,ENSG00000112294,6,24495080,24537435,Tier 1,,,TRUE,""
ALDH6A1,ENSG00000119711,14,74523553,74551196,Tier 1,,,TRUE,""
ALDH7A1,ENSG00000164904,5,125877533,125931110,Tier 1,,,TRUE,""
ALDH8A1,ENSG00000118514,6,135238528,135271260,Tier 1,,,TRUE,""
ALDH9A1,ENSG00000143149,1,165631453,165668100,Tier 1,,,TRUE,""
ALDOA,ENSG00000149925,16,30064411,30081778,Tier 3B,,,TRUE,""
ALK,ENSG00000171094,2,29415640,30144432,Tier 1,,,TRUE,""
ALOX12,ENSG00000108839,17,6899384,6914055,Tier 2,,,TRUE,""
ALOX12B,ENSG00000179477,17,7975954,7991021,Tier 3B,,,TRUE,""
ALOX15,ENSG00000161905,17,4534197,4545589,Tier 1,,,TRUE,""
ALOX15B,ENSG00000179593,17,7942335,7952452,Tier 3B,,,TRUE,""
ALOX5,ENSG00000012779,10,45869661,45941561,Tier 1,,,TRUE,""
ALOX5AP,ENSG00000132965,13,31309645,31338556,Tier 1,,,TRUE,""
ALOXE3,ENSG00000179148,17,7999218,8022365,Tier 3B,,,TRUE,""
ALPI,ENSG00000163295,2,233320833,233324742,Tier 2,,,TRUE,""
ALPL,ENSG00000162551,1,21835858,21904905,Tier 2,,,TRUE,""
ALPP,ENSG00000163283,2,233243244,233247599,Tier 3B,,,TRUE,""
ALPPL2,ENSG00000163286,2,233271553,233275424,Tier 2,,,TRUE,""
AMBN,ENSG00000178522,4,71457973,71473005,Tier 3B,,,TRUE,""
AMBP,ENSG00000106927,9,116822407,116840752,Tier 3B,,,TRUE,""
AMD1,ENSG00000123505,6,111195973,111216916,Tier 1,,,TRUE,""
AMELX,ENSG00000125363,X,11311533,11318881,Tier 3B,,,TRUE,""
AMELY,ENSG00000099721,Y,6733959,6742068,Tier 3B,,,TRUE,""
AMH,ENSG00000104899,19,2249308,2252072,Tier 3A,,,TRUE,""
AMHR2,ENSG00000135409,12,53817639,53825318,Tier 3B,,,TRUE,""
AMICA1,ENSG00000160593,11,118064455,118095809,Tier 3A,,,TRUE,""
AMOT,ENSG00000126016,X,112017731,112084043,Tier 3B,,,TRUE,""
AMPD1,ENSG00000116748,1,115215719,115238239,Tier 2,,,TRUE,""
AMPD2,ENSG00000116337,1,110158726,110174673,Tier 2,,,TRUE,""
AMPD3,ENSG00000133805,11,10329860,10529126,Tier 2,,,TRUE,""
AMTN,ENSG00000187689,4,71384257,71398459,Tier 3B,,,TRUE,""
AMY1A,ENSG00000237763,1,104197912,104207173,Tier 2,,,TRUE,""
AMY1B,ENSG00000174876,1,104230037,104239302,Tier 2,,,TRUE,""
AMY1C,ENSG00000187733,1,104293028,104301312,Tier 2,,,TRUE,""
AMY2A,ENSG00000243480,1,104159999,104168402,Tier 1,,,TRUE,""
AMY2B,ENSG00000240038,1,104096437,104122156,Tier 2,,,TRUE,""
ANG,ENSG00000214274,14,21152336,21167130,Tier 3B,,,TRUE,""
ANGPT1,ENSG00000154188,8,108261721,108510283,Tier 1,,,TRUE,""
ANGPT2,ENSG00000091879,8,6357172,6420930,Tier 1,,,TRUE,""
ANGPT4,ENSG00000101280,20,853296,896977,Tier 3A,,,TRUE,""
ANGPTL1,ENSG00000116194,1,178818840,178840187,Tier 3B,,,TRUE,""
ANGPTL2,ENSG00000136859,9,129849611,129885162,Tier 3B,,,TRUE,""
ANGPTL3,ENSG00000132855,1,63063158,63071830,Tier 3A,,,TRUE,""
ANGPTL4,ENSG00000167772,19,8428173,8439257,Tier 3A,,,TRUE,""
ANGPTL6,ENSG00000130812,19,10203014,10213472,Tier 3A,,,TRUE,""
ANGPTL7,ENSG00000171819,1,11249398,11256038,Tier 3B,,,TRUE,""
ANKK1,ENSG00000170209,11,113258513,113271140,Tier 1,,,TRUE,""
ANPEP,ENSG00000166825,15,90328120,90358633,Tier 2,,,TRUE,""
ANTXR2,ENSG00000163297,4,80822303,81046608,Tier 3A,,,TRUE,""
ANXA1,ENSG00000135046,9,75766673,75785309,Tier 3A,,,TRUE,""
ANXA2,ENSG00000182718,15,60639333,60695082,Tier 3B,,,TRUE,""
AOAH,ENSG00000136250,7,36552456,36764154,Tier 3A,,,TRUE,""
AOC1,ENSG00000002726,7,150521715,150558592,Tier 2,,,TRUE,""
AOC2,ENSG00000131480,17,40996617,41002724,Tier 2,,,TRUE,""
AOC3,ENSG00000131471,17,41003201,41010147,Tier 1,,,TRUE,""
AOX1,ENSG00000138356,2,201450591,201541787,Tier 1,,,TRUE,""
APAF1,ENSG00000120868,12,99038919,99129204,Tier 2,,,TRUE,""
APCS,ENSG00000132703,1,159557615,159558655,Tier 3B,,,TRUE,""
APEX1,ENSG00000100823,14,20923350,20925927,Tier 1,,,TRUE,""
APH1A,ENSG00000117362,1,150237804,150241980,Tier 1,,,TRUE,""
APH1B,ENSG00000138613,15,63568217,63601325,Tier 1,,,TRUE,""
APLN,ENSG00000171388,X,128779240,128788933,Tier 3B,,,TRUE,""
APLNR,ENSG00000134817,11,57001051,57004709,Tier 2,,,TRUE,""
APLP1,ENSG00000105290,19,36358801,36370693,Tier 3B,,,TRUE,""
APOA1,ENSG00000118137,11,116706467,116708666,Tier 3A,,,TRUE,""
APOA1BP,ENSG00000163382,1,156561554,156564091,Tier 3B,,,TRUE,""
APOA2,ENSG00000158874,1,161192082,161193421,Tier 3B,,,TRUE,""
APOA4,ENSG00000110244,11,116691419,116694022,Tier 3A,,,TRUE,""
APOA5,ENSG00000110243,11,116660083,116663136,Tier 3A,,,TRUE,""
APOB,ENSG00000084674,2,21224301,21266945,Tier 1,,,TRUE,""
APOBEC3A,ENSG00000128383,22,39348746,39359188,Tier 2,,,TRUE,""
APOBEC3G,ENSG00000239713,22,39436924,39483748,Tier 2,,,TRUE,""
APOC1,ENSG00000130208,19,45417504,45422606,Tier 3A,,,TRUE,""
APOC2,ENSG00000234906,19,45449243,45452822,Tier 3A,,,TRUE,""
APOC3,ENSG00000110245,11,116700422,116703788,Tier 3A,,,TRUE,""
APOC4-APOC2,ENSG00000224916,19,45445495,45452822,Tier 3A,,,TRUE,""
APOD,ENSG00000189058,3,195295573,195311076,Tier 3B,,,TRUE,""
APOE,ENSG00000130203,19,45409011,45412650,Tier 3A,,,TRUE,""
APOF,ENSG00000175336,12,56754353,56756607,Tier 3A,,,TRUE,""
APOH,ENSG00000091583,17,64208151,64252643,Tier 3A,,,TRUE,""
APOL1,ENSG00000100342,22,36649056,36663576,Tier 3A,,,TRUE,""
APOM,ENSG00000204444,6,31620193,31625987,Tier 3A,,,TRUE,""
APOO,ENSG00000184831,X,23851470,23926057,Tier 3B,,,TRUE,""
APP,ENSG00000142192,21,27252861,27543446,Tier 1,,,TRUE,""
AQP1,ENSG00000240583,7,30893010,30965131,Tier 3A,,,TRUE,""
AQP4,ENSG00000171885,18,24432002,24445782,Tier 3B,,,TRUE,""
AR,ENSG00000169083,X,66764465,66950461,Tier 1,,,TRUE,""
ARAF,ENSG00000078061,X,47420516,47431307,Tier 2,,,TRUE,""
AREG,ENSG00000109321,4,75310851,75320726,Tier 2,,,TRUE,""
AREGB,ENSG00000205595,4,75480629,75490486,Tier 2,,,TRUE,""
ARNT,ENSG00000143437,1,150782181,150849244,Tier 1,,,TRUE,""
ARSA,ENSG00000100299,22,51061182,51066607,Tier 1,,,TRUE,""
ARSG,ENSG00000141337,17,66255323,66418872,Tier 3B,,,TRUE,""
ARSI,ENSG00000183876,5,149675906,149718870,Tier 3B,,,TRUE,""
ART1,ENSG00000129744,11,3666358,3685646,Tier 3B,,,TRUE,""
ART4,ENSG00000111339,12,14978503,14996429,Tier 3B,,,TRUE,""
ARTN,ENSG00000117407,1,44398992,44402913,Tier 3B,,,TRUE,""
ASGR1,ENSG00000141505,17,7076750,7082883,Tier 3A,,,TRUE,""
ASIC1,ENSG00000110881,12,50451331,50477394,Tier 2,,,TRUE,""
ASIC2,ENSG00000108684,17,31340105,32501983,Tier 3A,,,TRUE,""
ASIC3,ENSG00000213199,7,150745379,150749843,Tier 2,,,TRUE,""
ASIC5,ENSG00000256394,4,156750881,156787425,Tier 3B,,,TRUE,""
ASIP,ENSG00000101440,20,32782375,32857150,Tier 3B,,,TRUE,""
ASPN,ENSG00000106819,9,95218487,95244788,Tier 3B,,,TRUE,""
ATF1,ENSG00000123268,12,51157493,51214905,Tier 2,,,TRUE,""
ATG4B,ENSG00000168397,2,242576628,242613272,Tier 2,,,TRUE,""
ATG4C,ENSG00000125703,1,63249806,63331184,Tier 3B,,,TRUE,""
ATIC,ENSG00000138363,2,216176540,216214487,Tier 2,,,TRUE,""
ATM,ENSG00000149311,11,108093211,108239829,Tier 2,,,TRUE,""
ATP12A,ENSG00000075673,13,25254549,25285921,Tier 2,,,TRUE,""
ATP1A1,ENSG00000163399,1,116915290,116952883,Tier 1,,,TRUE,""
ATP1A2,ENSG00000018625,1,160085549,160113381,Tier 1,,,TRUE,""
ATP1A3,ENSG00000105409,19,42470734,42501649,Tier 1,,,TRUE,""
ATP1A4,ENSG00000132681,1,160121360,160156767,Tier 1,,,TRUE,""
ATP1B1,ENSG00000143153,1,169074935,169101960,Tier 3B,,,TRUE,""
ATP1B2,ENSG00000129244,17,7549945,7561086,Tier 3B,,,TRUE,""
ATP1B3,ENSG00000069849,3,141594966,141645356,Tier 3B,,,TRUE,""
ATP2A1,ENSG00000196296,16,28889726,28915830,Tier 3A,,,TRUE,""
ATP2A2,ENSG00000174437,12,110718561,110788898,Tier 3B,,,TRUE,""
ATP2A3,ENSG00000074370,17,3827169,3867736,Tier 3A,,,TRUE,""
ATP2B2,ENSG00000157087,3,10365707,10749716,Tier 3A,,,TRUE,""
ATP2B3,ENSG00000067842,X,152783134,152848397,Tier 3A,,,TRUE,""
ATP2B4,ENSG00000058668,1,203595689,203713209,Tier 3A,,,TRUE,""
ATP2C1,ENSG00000017260,3,130569439,130735556,Tier 3B,,,TRUE,""
ATP2C2,ENSG00000064270,16,84402133,84497793,Tier 3B,,,TRUE,""
ATP4A,ENSG00000105675,19,36040945,36054560,Tier 1,,,TRUE,""
ATP4B,ENSG00000186009,13,114303119,114312501,Tier 1,,,TRUE,""
ATP6AP2,ENSG00000182220,X,40440146,40465889,Tier 3B,,,TRUE,""
ATP6V1B1,ENSG00000116039,2,71163012,71192536,Tier 2,,,TRUE,""
ATP7A,ENSG00000165240,X,77166194,77305892,Tier 1,,,TRUE,""
ATP7B,ENSG00000123191,13,52506809,52585630,Tier 1,,,TRUE,""
ATR,ENSG00000175054,3,142168077,142297668,Tier 2,,,TRUE,""
ATRAID,ENSG00000138085,2,27434895,27440046,Tier 3B,,,TRUE,""
ATRN,ENSG00000088812,20,3451687,3631769,Tier 3B,,,TRUE,""
AURKA,ENSG00000087586,20,54944445,54967393,Tier 1,,,TRUE,""
AURKAIP1,ENSG00000175756,1,1309110,1310875,Tier 1,,,TRUE,""
AURKB,ENSG00000178999,17,8108056,8113918,Tier 1,,,TRUE,""
AURKC,ENSG00000105146,19,57742377,57746916,Tier 1,,,TRUE,""
AVP,ENSG00000101200,20,3063202,3065370,Tier 3B,,,TRUE,""
AVPR1A,ENSG00000166148,12,63539014,63544722,Tier 1,,,TRUE,""
AVPR1B,ENSG00000198049,1,206223976,206231639,Tier 1,,,TRUE,""
AVPR2,ENSG00000126895,X,153167985,153172620,Tier 1,,,TRUE,""
AXIN2,ENSG00000168646,17,63524681,63557765,Tier 2,,,TRUE,""
AXL,ENSG00000167601,19,41725108,41767671,Tier 1,,,TRUE,""
AZGP1,ENSG00000160862,7,99564343,99573780,Tier 3B,,,TRUE,""
AZIN1,ENSG00000155096,8,103838585,103906092,Tier 2,,,TRUE,""
AZU1,ENSG00000172232,19,825097,832017,Tier 3B,,,TRUE,""
B2M,ENSG00000166710,15,45003675,45011075,Tier 3B,,,TRUE,""
B4GALT1,ENSG00000086062,9,33104080,33167354,Tier 3A,,,TRUE,""
BACE1,ENSG00000186318,11,117156402,117186975,Tier 1,,,TRUE,""
BACE2,ENSG00000182240,21,42539728,42654445,Tier 2,,,TRUE,""
BAD,ENSG00000002330,11,64037302,64052176,Tier 2,,,TRUE,""
BAMBI,ENSG00000095739,10,28966271,28971868,Tier 3B,,,TRUE,""
BCAM,ENSG00000187244,19,45312328,45324673,Tier 3A,,,TRUE,""
BCAN,ENSG00000132692,1,156611182,156629324,Tier 3B,,,TRUE,""
BCAT1,ENSG00000060982,12,24964295,25102393,Tier 2,,,TRUE,""
BCHE,ENSG00000114200,3,165490692,165555260,Tier 1,,,TRUE,""
BCL2,ENSG00000171791,18,60790579,60987361,Tier 1,,,TRUE,""
BCL2A1,ENSG00000140379,15,80253231,80263788,Tier 2,,,TRUE,""
BCL2L1,ENSG00000171552,20,30252255,30311792,Tier 1,,,TRUE,""
BCL2L10,ENSG00000137875,15,52401460,52404972,Tier 2,,,TRUE,""
BCL2L2,ENSG00000129473,14,23767999,23780968,Tier 2,,,TRUE,""
BCL2L2-PABPN1,ENSG00000258643,14,23776044,23794578,Tier 2,,,TRUE,""
BCR,ENSG00000186716,22,23521891,23660224,Tier 1,,,TRUE,""
BDKRB1,ENSG00000100739,14,96722161,96735304,Tier 1,,,TRUE,""
BDKRB2,ENSG00000168398,14,96671016,96710666,Tier 1,,,TRUE,""
