"Gene","Outcome_role","Method","N_IV","Beta","SE","OR_95CI","P_value","Significance"
"PPARG","Primary","Weighted median",3,"-0.111","0.097","0.89 (0.74-1.08)","0.251",""
"PPARG","Primary","Weighted mode",3,"-0.109","0.271","0.90 (0.53-1.53)","0.728",""
"PPARG","Replication","Inverse variance weighted",3,"-0.000","0.000","1.00 (1.00-1.00)","0.742",""
"PPARG","Replication","MR Egger",3,"-0.000","0.001","1.00 (1.00-1.00)","0.735",""
"PPARG","Replication","Weighted median",3,"-0.000","0.000","1.00 (1.00-1.00)","0.719",""
"PPARG","Replication","Weighted mode",3,"-0.000","0.001","1.00 (1.00-1.00)","0.893",""
"TNF","Primary","Inverse variance weighted",2,"+2.451","1.830","11.59 (0.32-419.06)","0.181",""
"TNF","Replication","Inverse variance weighted",3,"-0.004","0.001","1.00 (0.99-1.00)","2.97e-06","***"
"TNF","Replication","MR Egger",3,"-0.005","0.003","0.99 (0.99-1.00)","0.386",""
"TNF","Replication","Weighted median",3,"-0.004","0.001","1.00 (0.99-1.00)","7.97e-12","***"
"TNF","Replication","Weighted mode",3,"-0.005","0.003","1.00 (0.99-1.00)","0.268",""
"TSHR","Primary","Wald ratio",1,"-1.408","0.182","0.24 (0.17-0.35)","9.12e-15","***"
"TSHR","Replication","Wald ratio",1,"-0.012","0.001","0.99 (0.99-0.99)","1.07e-27","***"
