gene,outcome,p12,n_overlap,n_allele_mismatch,n_palindromic,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,top_snp,top_SNP.PP.H4,cs95_size,cs95_snps,outcome_min_p,eqtl_min_p
CTLA4,BBJ_Graves,1e-05,3014,0,387,2.26339965522442e-76,1.73552097769012e-64,1.04236970607833e-12,0.799063341407313,0.200936658591635,rs231811,0.215820214506867,11,rs231811;rs231804;rs3087243;rs13030124;rs1863800;rs11571304;rs12990970;rs1968351;rs231806;rs34461055;rs34050244,5.49283988713605e-18,2.2995e-70
CTLA4,UKB_hyperthyroid,1e-06,4283,1,508,6.68983684384431e-85,7.27775539680563e-65,3.08088907256573e-21,0.328448972781778,0.671551027218235,rs3087243,0.267575984318732,11,rs3087243;rs1863800;rs11571304;rs231811;rs12990970;rs13030124;rs6745050;rs231804;rs1968351;rs34461055;rs34050244,9e-27,2.2995e-70
CTLA4,UKB_hyperthyroid,5e-06,4283,1,508,1.81483082495121e-85,1.974322414564e-65,8.35789061476515e-22,0.0891022208974227,0.910897779102588,rs3087243,0.267575984318732,11,rs3087243;rs1863800;rs11571304;rs231811;rs12990970;rs13030124;rs6745050;rs231804;rs1968351;rs34461055;rs34050244,9e-27,2.2995e-70
CTLA4,UKB_hyperthyroid,1e-05,4283,1,508,9.49726795853764e-86,1.03319101427349e-65,4.37380309201577e-22,0.0466284601258293,0.953371539874158,rs3087243,0.267575984318732,11,rs3087243;rs1863800;rs11571304;rs231811;rs12990970;rs13030124;rs6745050;rs231804;rs1968351;rs34461055;rs34050244,9e-27,2.2995e-70
CTLA4,FinnGen_GO,1e-06,4924,19,540,1.39837934350041e-67,4.15807463442752e-65,0.000643999508397025,0.183332728969007,0.816023271522594,rs1863800,0.169675353783181,12,rs1863800;rs13030124;rs231811;rs231804;rs12990970;rs3087243;rs6745050;rs34461055;rs34050244;rs11571304;rs1968351;rs34636506,2.10635e-08,2.2995e-70
CTLA4,FinnGen_GO,5e-06,4924,19,540,3.27942968239125e-68,9.75136928410713e-66,0.000151028482585846,0.0429945419266398,0.956854429590765,rs1863800,0.169675353783181,12,rs1863800;rs13030124;rs231811;rs231804;rs12990970;rs3087243;rs6745050;rs34461055;rs34050244;rs11571304;rs1968351;rs34636506,2.10635e-08,2.2995e-70
CTLA4,FinnGen_GO,1e-05,4924,19,540,1.67586798118501e-68,4.98318583981045e-66,7.71792118524774e-05,0.02197125206479,0.977951568723346,rs1863800,0.169675353783181,12,rs1863800;rs13030124;rs231811;rs231804;rs12990970;rs3087243;rs6745050;rs34461055;rs34050244;rs11571304;rs1968351;rs34636506,2.10635e-08,2.2995e-70
TNFSF14,BBJ_Graves,1e-06,4790,0,541,6.88579998719549e-188,5.35959553994855e-187,0.00781835013352344,0.0514471594135033,0.940734490452984,rs2291668,0.999999989755906,1,rs2291668,9.50686216090545e-07,2.3193e-193
TNFSF14,BBJ_Graves,5e-06,4790,0,541,1.44570431998152e-188,1.12527091113101e-187,0.00164149736910476,0.0108015598410045,0.987556942789886,rs2291668,0.999999989755906,1,rs2291668,9.50686216090545e-07,2.3193e-193
TNFSF14,BBJ_Graves,1e-05,4790,0,541,7.27377560288792e-189,5.66157822654134e-188,0.000825886963922987,0.00543459138626882,0.99373952164983,rs2291668,0.999999989755906,1,rs2291668,9.50686216090545e-07,2.3193e-193
TNFSF14,UKB_hyperthyroid,1e-06,7197,2,765,4.02789926905793e-186,4.5168246457274e-186,0.457340132542597,0.512553163957679,0.0301067034997257,rs2291668,0.999999995084465,1,rs2291668,5.2e-06,2.3193e-193
TNFSF14,UKB_hyperthyroid,5e-06,7197,2,765,3.59496864831532e-186,4.03134286799724e-186,0.408183851750481,0.457462421957151,0.134353726292356,rs2291668,0.999999995084465,1,rs2291668,5.2e-06,2.3193e-193
TNFSF14,UKB_hyperthyroid,1e-05,7197,2,765,3.16917780141265e-186,3.55386752346983e-186,0.359838242947945,0.403280221463535,0.236881535588546,rs2291668,0.999999995084465,1,rs2291668,5.2e-06,2.3193e-193
TNFSF14,FinnGen_GO,1e-06,7703,23,789,5.59560053057779e-186,3.19667286585159e-186,0.635341779266593,0.362942964989354,0.00171525574406298,rs2291668,0.999999993006213,1,rs2291668,0.00102568,2.3193e-193
TNFSF14,FinnGen_GO,5e-06,7703,23,789,5.55747059712094e-186,3.17488987348229e-186,0.631012388768932,0.360469773590496,0.00851783764055475,rs2291668,0.999999993006213,1,rs2291668,0.00102568,2.3193e-193
TNFSF14,FinnGen_GO,1e-05,7703,23,789,5.51053277364214e-186,3.14807508106173e-186,0.625682923214527,0.357425283060757,0.0168917937247048,rs2291668,0.999999993006213,1,rs2291668,0.00102568,2.3193e-193
IFNGR1,BBJ_Graves,1e-06,3973,0,562,1.71192500326586e-62,2.59587190839912e-62,0.0437015510230315,0.0572764850574132,0.899021963919548,rs11754268,0.956098693418288,1,rs11754268,9.41212585821616e-06,6.6208e-68
IFNGR1,BBJ_Graves,5e-06,3973,0,562,3.72474386265458e-63,5.64800323647442e-63,0.00950842377154321,0.0124620083114059,0.978029567917039,rs11754268,0.956098693418288,1,rs11754268,9.41212585821616e-06,6.6208e-68
IFNGR1,BBJ_Graves,1e-05,3973,0,562,1.88305772728007e-63,2.85536845762227e-63,0.00480701801720598,0.00630021336057641,0.988892768622231,rs11754268,0.956098693418288,1,rs11754268,9.41212585821616e-06,6.6208e-68
IFNGR1,UKB_hyperthyroid,1e-06,5145,2,637,3.027532575017e-61,8.68473924721264e-62,0.772860195677909,0.221646705833153,0.00549309848894786,rs11754268,0.914107769123455,2,rs11754268;rs9376267,0.00064,6.6208e-68
IFNGR1,UKB_hyperthyroid,5e-06,5145,2,637,2.96244066172684e-61,8.49801745974384e-62,0.756243710934653,0.216881304371846,0.0268749846934973,rs11754268,0.914107769123455,2,rs11754268;rs9376267,0.00064,6.6208e-68
IFNGR1,UKB_hyperthyroid,1e-05,5145,2,637,2.88490878235879e-61,8.27561055280772e-62,0.736451585837755,0.211205168695953,0.0523432454662799,rs11754268,0.914107769123455,2,rs11754268;rs9376267,0.00064,6.6208e-68
IFNGR1,FinnGen_GO,1e-06,5891,10,690,2.55665475067077e-61,1.35286086215761e-61,0.652655798715286,0.345334506093527,0.00200969519118168,rs11754268,0.931139085276092,2,rs11754268;rs9376267,0.00192291,6.6208e-68
IFNGR1,FinnGen_GO,5e-06,5891,10,690,2.53626626222778e-61,1.34207223766859e-61,0.647451081415907,0.342580575949222,0.00996834263487893,rs11754268,0.931139085276092,2,rs11754268;rs9376267,0.00192291,6.6208e-68
IFNGR1,FinnGen_GO,1e-05,5891,10,690,2.51123342699137e-61,1.32882604435629e-61,0.6410607680304,0.339199320897002,0.0197399110726041,rs11754268,0.931139085276092,2,rs11754268;rs9376267,0.00192291,6.6208e-68
MAPKAPK5,BBJ_Graves,1e-06,2077,0,272,1.80634299522228e-140,3.1947779678394e-133,5.65404829707725e-08,0.99999994333058,1.28954735101889e-10,rs79271898,0.385232406139645,4,rs79271898;rs60998439;rs79761579;rs57866673,5.26553551523869e-14,1.0659e-140
MAPKAPK5,BBJ_Graves,5e-06,2077,0,272,1.80634299429047e-140,3.19477796619118e-133,5.65404829416059e-08,0.999999942814726,6.44773675176826e-10,rs79271898,0.385232406139645,4,rs79271898;rs60998439;rs79761579;rs57866673,5.26553551523869e-14,1.0659e-140
MAPKAPK5,BBJ_Graves,1e-05,2077,0,272,1.80634299312578e-140,3.19477796413145e-133,5.654048290515e-08,0.999999942169952,1.28954734952219e-09,rs79271898,0.385232406139645,4,rs79271898;rs60998439;rs79761579;rs57866673,5.26553551523869e-14,1.0659e-140
MAPKAPK5,UKB_hyperthyroid,1e-06,2763,0,343,1.66569174200895e-134,3.0267689009286e-133,0.052137947124502,0.94740674115009,0.000455311725403841,rs79271898,0.401586505608499,4,rs79271898;rs60998439;rs79761579;rs57866673,4.8e-07,1.0659e-140
MAPKAPK5,UKB_hyperthyroid,5e-06,2763,0,343,1.66266362104071e-134,3.0212664288062e-133,0.0520431636739109,0.945684416336936,0.00227241998915478,rs79271898,0.401586505608499,4,rs79271898;rs60998439;rs79761579;rs57866673,4.8e-07,1.0659e-140
MAPKAPK5,UKB_hyperthyroid,1e-05,2763,0,343,1.65889391734301e-134,3.01441640870334e-133,0.0519251678844685,0.943540296506554,0.00453453560895012,rs79271898,0.401586505608499,4,rs79271898;rs60998439;rs79761579;rs57866673,4.8e-07,1.0659e-140
MAPKAPK5,FinnGen_GO,1e-06,3294,5,381,2.16960372211362e-133,1.01669677875599e-133,0.679109317445469,0.31821023039527,0.00268045215926807,rs79271898,0.385317454804331,4,rs79271898;rs60998439;rs79761579;rs57866673,0.000444007,1.0659e-140
MAPKAPK5,FinnGen_GO,5e-06,3294,5,381,2.14658841193821e-133,1.00591158721206e-133,0.671905277636396,0.314834633700404,0.0132600886631826,rs79271898,0.385317454804331,4,rs79271898;rs60998439;rs79761579;rs57866673,0.000444007,1.0659e-140
MAPKAPK5,FinnGen_GO,1e-05,3294,5,381,2.11849695448901e-133,9.92747665151981e-134,0.663112349093764,0.31071453146425,0.0261731194419727,rs79271898,0.385317454804331,4,rs79271898;rs60998439;rs79761579;rs57866673,0.000444007,1.0659e-140
HSD3B7,BBJ_Graves,1e-06,1630,0,205,2.60750170769894e-125,1.23841428363973e-121,0.000179471884529751,0.850899668686748,0.148920859428728,rs4889606,0.966206661232939,1,rs4889606,1.14746236215511e-08,1.1373e-128
HSD3B7,BBJ_Graves,5e-06,1630,0,205,1.63409711855697e-125,7.76102737152696e-122,0.000112473364257492,0.533250924698008,0.466636601937762,rs4889606,0.966206661232939,1,rs4889606,1.14746236215511e-08,1.1373e-128
HSD3B7,BBJ_Graves,1e-05,1630,0,205,1.11417996550609e-125,5.29171804472418e-122,7.66879567228102e-05,0.363587628996484,0.636335683046818,rs4889606,0.966206661232939,1,rs4889606,1.14746236215511e-08,1.1373e-128
HSD3B7,UKB_hyperthyroid,1e-06,2755,1,312,6.85626762745813e-122,7.11805509057304e-122,0.485610184426688,0.504048441630058,0.0103413739432436,rs4889606,0.948875881850317,2,rs4889606;rs12716979,7e-05,1.1373e-128
HSD3B7,UKB_hyperthyroid,5e-06,2755,1,312,6.58392049216971e-122,6.8353091392658e-122,0.466320601554247,0.484026447655556,0.0496529507901904,rs4889606,0.948875881850317,2,rs4889606;rs12716979,7e-05,1.1373e-128
HSD3B7,UKB_hyperthyroid,1e-05,2755,1,312,6.2724736659038e-122,6.51197058429652e-122,0.444261697357392,0.461129983287499,0.0946083193550992,rs4889606,0.948875881850317,2,rs4889606;rs12716979,7e-05,1.1373e-128
HSD3B7,FinnGen_GO,1e-06,3104,6,315,1.06050709701596e-121,3.4759418361844e-122,0.75112726241856,0.246164068758607,0.00270866882280632,rs4889606,0.947595888642782,2,rs4889606;rs12716979,0.000511223,1.1373e-128
HSD3B7,FinnGen_GO,5e-06,3104,6,315,1.04914000571897e-121,3.43868480291598e-122,0.743076272291676,0.243525548515329,0.013398179192982,rs4889606,0.947595888642782,2,rs4889606;rs12716979,0.000511223,1.1373e-128
HSD3B7,FinnGen_GO,1e-05,3104,6,315,1.03526928236093e-121,3.39322180907649e-122,0.733252030197483,0.240305887177796,0.0264420826247228,rs4889606,0.947595888642782,2,rs4889606;rs12716979,0.000511223,1.1373e-128
VKORC1,BBJ_Graves,1e-06,1516,0,192,3.70354351671809e-31,1.75896971622358e-27,0.000198069298616347,0.940118173353503,0.059683757347886,rs34649473,0.592022506174159,10,rs34649473;rs8050894;rs9934438;rs2359612;rs9923231;rs35351013;rs9939417;rs56813533;rs2303223;rs749671,1.14746236215511e-08,9.441e-34
VKORC1,BBJ_Graves,5e-06,1516,0,192,2.98977862807128e-31,1.41997253204954e-27,0.000159896421685626,0.758934034355418,0.2409060692229,rs34649473,0.592022506174159,10,rs34649473;rs8050894;rs9934438;rs2359612;rs9923231;rs35351013;rs9939417;rs56813533;rs2303223;rs749671,1.14746236215511e-08,9.441e-34
VKORC1,BBJ_Graves,1e-05,1516,0,192,2.40935128147418e-31,1.14430299542236e-27,0.000128854573002257,0.61159668179453,0.388274463632473,rs34649473,0.592022506174159,10,rs34649473;rs8050894;rs9934438;rs2359612;rs9923231;rs35351013;rs9939417;rs56813533;rs2303223;rs749671,1.14746236215511e-08,9.441e-34
VKORC1,UKB_hyperthyroid,1e-06,2644,1,297,7.98345816740586e-28,8.25396725460806e-28,0.490168401373886,0.50674626623331,0.00308533239280185,rs34649473,0.499476822173426,11,rs34649473;rs2884737;rs9934438;rs8050894;rs9939417;rs2359612;rs9923231;rs35351013;rs9796794;rs749671;rs56813533,7e-05,9.441e-34
VKORC1,UKB_hyperthyroid,5e-06,2644,1,297,7.88613280343638e-28,8.15334414737784e-28,0.484192818228124,0.500568584360724,0.0152385974111554,rs34649473,0.499476822173426,11,rs34649473;rs2884737;rs9934438;rs8050894;rs9939417;rs2359612;rs9923231;rs35351013;rs9796794;rs749671;rs56813533,7e-05,9.441e-34
VKORC1,UKB_hyperthyroid,1e-05,2644,1,297,7.76776299043979e-28,8.03096352736071e-28,0.47692514790396,0.493055115947293,0.0300197361487506,rs34649473,0.499476822173426,11,rs34649473;rs2884737;rs9934438;rs8050894;rs9939417;rs2359612;rs9923231;rs35351013;rs9796794;rs749671;rs56813533,7e-05,9.441e-34
VKORC1,FinnGen_GO,1e-06,2961,5,296,3.08353132335565e-27,9.6343348668729e-28,0.759644964560574,0.237316775612068,0.00303825982736082,rs2884737,0.279944154389333,11,rs2884737;rs9934438;rs2359612;rs35351013;rs9923231;rs9939417;rs9796794;rs56813533;rs749671;rs2303223;rs2303222,0.000511223,4.9933e-33
VKORC1,FinnGen_GO,5e-06,2961,5,296,3.04650700397979e-27,9.51865428714819e-28,0.750523819084566,0.234467285474913,0.0150088954405241,rs2884737,0.279944154389333,11,rs2884737;rs9934438;rs2359612;rs35351013;rs9923231;rs9939417;rs9796794;rs56813533;rs749671;rs2303223;rs2303222,0.000511223,4.9933e-33
VKORC1,FinnGen_GO,1e-05,2961,5,296,3.00145842826094e-27,9.37790233160173e-28,0.739425853759469,0.231000227217863,0.0295739190226703,rs2884737,0.279944154389333,11,rs2884737;rs9934438;rs2359612;rs35351013;rs9923231;rs9939417;rs9796794;rs56813533;rs749671;rs2303223;rs2303222,0.000511223,4.9933e-33
PRSS36,BBJ_Graves,1e-06,1479,0,189,4.9025023810952e-46,2.3284052310237e-42,0.000206377929018394,0.979977702311986,0.0198159197589929,rs78924645,0.553559470056961,2,rs78924645;rs55667375,1.14746236215511e-08,9.7144e-49
PRSS36,BBJ_Graves,5e-06,1479,0,189,4.54245100277465e-46,2.15740163988794e-42,0.000191221045447149,0.908005820400933,0.0918029585536185,rs78924645,0.553559470056961,2,rs78924645;rs55667375,1.14746236215511e-08,9.7144e-49
PRSS36,BBJ_Graves,1e-05,1479,0,189,4.16050439063869e-46,1.9759990783923e-42,0.000175142450337807,0.831657226505251,0.168167631044407,rs78924645,0.553559470056961,2,rs78924645;rs55667375,1.14746236215511e-08,9.7144e-49
PRSS36,UKB_hyperthyroid,1e-06,2577,1,295,1.1555946887625e-42,1.18969931448914e-42,0.486475044637084,0.500703987587365,0.012820967775552,rs78924645,0.528898862825572,2,rs78924645;rs55667375,7e-05,9.7144e-49
PRSS36,UKB_hyperthyroid,5e-06,2577,1,295,1.09922231333287e-42,1.13166324262336e-42,0.462743753622935,0.476278578365717,0.0609776680113532,rs78924645,0.528898862825572,2,rs78924645;rs55667375,7e-05,9.7144e-49
PRSS36,UKB_hyperthyroid,1e-05,2577,1,295,1.03604660727044e-42,1.06662305602011e-42,0.436148438911329,0.448905375415139,0.114946185673534,rs78924645,0.528898862825572,2,rs78924645;rs55667375,7e-05,9.7144e-49
PRSS36,FinnGen_GO,1e-06,2821,5,292,1.82755786783898e-42,5.38927066787657e-43,0.769353912733798,0.226836054967933,0.00381003229826917,rs78924645,0.5504456051473,2,rs78924645;rs55667375,0.000511223,9.7144e-49
PRSS36,FinnGen_GO,5e-06,2821,5,292,1.80012374933558e-42,5.30837041691802e-43,0.757804868632692,0.223430938597969,0.0187641927693373,rs78924645,0.5504456051473,2,rs78924645;rs55667375,0.000511223,9.7144e-49
PRSS36,FinnGen_GO,1e-05,2821,5,292,1.76696802077648e-42,5.21059775617765e-43,0.743847176815993,0.219315657326561,0.0368371658574497,rs78924645,0.5504456051473,2,rs78924645;rs55667375,0.000511223,9.7144e-49
