"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gene","outcome_role","n_iv"
"eqtl-a-ENSG00000232810","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-0.00455101476990527,0.00299787633911693,0.268305367997736,"TNF","Replication",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",3,-0.0971761023706471,0.102031319038596,0.340886835119977,"PPARG","Primary",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90018627","outcome","exposure","MR Egger",3,-0.163812472346879,0.232642978194973,0.60943573077322,"PPARG","Primary",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90018627","outcome","exposure","Weighted median",3,-0.111442810236494,0.097171603852315,0.251436999725713,"PPARG","Primary",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90018627","outcome","exposure","Weighted mode",3,-0.108536887002703,0.271176393886209,0.727680383057953,"PPARG","Primary",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-0.000154372278041544,0.000469633187515825,0.742376258469824,"PPARG","Replication",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,-0.000352904318381836,0.000797295519675267,0.734717083407612,"PPARG","Replication",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-0.00016730575608731,0.000465294962652618,0.719169290012432,"PPARG","Replication",3
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-0.000180467981945426,0.00119034385307145,0.893406349708079,"PPARG","Replication",3
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",5,-0.176657783876566,0.1242256719601,0.155005504248264,"ARRB1","Primary",5
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","MR Egger",5,-0.3142767439887,0.194578517429592,0.204687049347804,"ARRB1","Primary",5
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Weighted median",5,-0.221855706427809,0.137238028100528,0.105969829797259,"ARRB1","Primary",5
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Weighted mode",5,-0.232393174384419,0.40881024216046,0.600115393261015,"ARRB1","Primary",5
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Simple mode",5,-0.193958049268008,0.289898059282424,0.540093914329851,"ARRB1","Primary",5
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",6,-0.000690896748161642,0.000619503890254788,0.26474673893369,"ARRB1","Replication",6
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","MR Egger",6,-0.000697510462261063,0.0010734448631267,0.551259362196243,"ARRB1","Replication",6
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Weighted median",6,-0.000785136651429784,0.000536636848366046,0.143448543062473,"ARRB1","Replication",6
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Weighted mode",6,-0.0010240191425619,0.00267911338174327,0.718002780953579,"ARRB1","Replication",6
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Simple mode",6,-0.00135836396153708,0.000909370123933456,0.195468311864304,"ARRB1","Replication",6
"eqtl-a-ENSG00000169047","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",2,-0.137810464948129,0.0900405659469452,0.125883732460245,"IRS1","Primary",2
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-6.41631603130623e-05,0.000490501293718327,0.895924505596604,"IRS1","Replication",3
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,0.000579136417641502,0.000956583150514471,0.653426309941156,"IRS1","Replication",3
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-1.18002619958471e-05,0.000509880403666611,0.981536049669201,"IRS1","Replication",3
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-5.9811991893078e-06,0.000999059612948755,0.995766710459625,"IRS1","Replication",3
"eqtl-a-ENSG00000142208","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",2,0.0807837472100495,0.161931832536688,0.617867428598025,"AKT1","Primary",2
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-0.000147103910675785,0.000622010842609527,0.813046769938572,"AKT1","Replication",3
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,0.000956864530391348,0.00249332197951903,0.766718320651783,"AKT1","Replication",3
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-6.53235840703174e-05,0.000483662232609063,0.892564169363827,"AKT1","Replication",3
"eqtl-a-ENSG00000142208","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-8.42114192420775e-05,0.0015603080877593,0.96186448651923,"AKT1","Replication",3
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",5,-0.942774578251567,0.377841442596884,0.0125900604991177,"CTLA4","Primary",5
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","MR Egger",5,-1.62325130285247,0.861896676886067,0.156177336740234,"CTLA4","Primary",5
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Weighted median",5,-0.860198187570021,0.15629729161909,3.72107715725126e-08,"CTLA4","Primary",5
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Weighted mode",5,-0.979814853972854,1.0222570722819,0.392097729053794,"CTLA4","Primary",5
"eqtl-a-ENSG00000163599","ebi-a-GCST90018627","outcome","exposure","Simple mode",5,-0.344082071964074,1.03148903520742,0.755451768610995,"CTLA4","Primary",5
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",7,-0.000605996109397307,0.00517883429648296,0.906848960368476,"CTLA4","Replication",7
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","MR Egger",7,-0.0182189313206072,0.00955560517703262,0.114882956985405,"CTLA4","Replication",7
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Weighted median",7,-0.00453556063851012,0.00118147414674305,0.00012358694616852,"CTLA4","Replication",7
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Weighted mode",7,-0.0064177823904682,0.010737341265383,0.571888843676263,"CTLA4","Replication",7
"eqtl-a-ENSG00000163599","ebi-a-GCST90038636","outcome","exposure","Simple mode",7,-3.01063348082942e-05,0.00211702768925436,0.989114712154319,"CTLA4","Replication",7
